No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
299,3-Cyanobenzoate,63500000,7.802773725,1877-72-1,N#Cc1cccc(C(=O)O)c1,7.2,,https://doi.org/10.1021/acs.est.8b06896,cyclo,Aromatic & PAHs,"InChI=1S/C8H5NO2/c9-5-6-2-1-3-7(4-6)8(10)11/h1-4H,(H,10,11)",GYLKKXHEIIFTJH-UHFFFAOYSA-N
300,3-Nitrobenzoate,41800000,7.621176282,121-92-6,O=C(O)c1cccc([N+](=O)[O-])c1,7.2,,https://doi.org/10.1021/acs.est.8b06896,cyclo,Aromatic & PAHs,"InChI=1S/C7H5NO4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,(H,9,10)",AFPHTEQTJZKQAQ-UHFFFAOYSA-N
301,"2,4,6-Tribromoanisole",71400000000,10.85369821,1219795-33-1,COC1=C(C=C(C=C1Br)Br)Br,,,https://doi.org/10.1016/j.chemosphere.2021.133034,alcohol,Oxygenated organics,"InChI=1S/C7H5Br3O/c1-11-7-5(9)2-4(8)3-6(7)10/h2-3H,1H3",YXTRCOAFNXQTKL-UHFFFAOYSA-N
302,"2,4,6-Tribromophenol",55400000000,10.74350976,1097192-97-6,C1=C(C=C(C(=C1Br)O)Br)Br,,,https://doi.org/10.1016/j.chemosphere.2021.133034,halogenated,Halogenated organics,"InChI=1S/C6H3Br3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H",BSWWXRFVMJHFBN-UHFFFAOYSA-N
303,"2,4,6-Tribromophenolate",23600000000,10.372912,65800-38-6,C1=C(C=C(C(=C1Br)[O-])Br)Br,,,https://doi.org/10.1016/j.chemosphere.2021.133034,halogenated,Halogenated organics,"InChI=1S/C6H3Br3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H/p-1",BSWWXRFVMJHFBN-UHFFFAOYSA-M
304,Dimethyl phthalate,18100000000,10.25767857,198283-80-6,COC(=O)C1=CC=CC=C1C(=O)OC,7,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3",NIQCNGHVCWTJSM-UHFFFAOYSA-N
305,Dimethyl phthalate,18000000000,10.25527251,198283-80-6,COC(=O)C1=CC=CC=C1C(=O)OC,7,,https://doi.org/10.1016/j.cej.2019.122339,diol,Polyfunctional / highly functionalized,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3",NIQCNGHVCWTJSM-UHFFFAOYSA-N
306,Diethyl phthalate,19700000000,10.29446623,1817006-92-0,CCOC(=O)C1=CC=CC=C1C(=O)OCC,7,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized,"InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3",FLKPEMZONWLCSK-UHFFFAOYSA-N
307,Diethyl phthalate,20000000000,10.30103,1817006-92-0,CCOC(=O)C1=CC=CC=C1C(=O)OCC,7,,https://doi.org/10.1016/j.cej.2019.122339,diol,Polyfunctional / highly functionalized,"InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3",FLKPEMZONWLCSK-UHFFFAOYSA-N
308,Dibutyl phthalate,19600000000,10.29225607,93952-11-5,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,7,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized,"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3",DOIRQSBPFJWKBE-UHFFFAOYSA-N
309,Dibutyl phthalate,20000000000,10.30103,93952-11-5,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,7,,https://doi.org/10.1016/j.cej.2019.122339,diol,Polyfunctional / highly functionalized,"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3",DOIRQSBPFJWKBE-UHFFFAOYSA-N
310,Aniline,40000000000,10.60205999,62-53-3,Nc1ccccc1,,,NIST,benzene,Aromatic & PAHs,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",PAYRUJLWNCNPSJ-UHFFFAOYSA-N
311,Aniline,27400000000,10.43775056,62-53-3,Nc1ccccc1,7,,https://doi.org/10.1021/acs.est.9b02462,benzene,Aromatic & PAHs,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",PAYRUJLWNCNPSJ-UHFFFAOYSA-N
312,p-Toluidine,27300000000,10.43616265,40825-60-3,CC1=CC=C(C=C1)N,7,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons,"InChI=1S/C7H9N/c1-6-2-4-7(8)5-3-6/h2-5H,8H2,1H3",RZXMPPFPUUCRFN-UHFFFAOYSA-N
313,4-Chloroaniline,21700000000,10.33645973,106-47-8,Nc1ccc(Cl)cc1,7,,https://doi.org/10.1021/acs.est.9b02462,benzene,Aromatic & PAHs,"InChI=1S/C6H6ClN/c7-5-1-3-6(8)4-2-5/h1-4H,8H2",QSNSCYSYFYORTR-UHFFFAOYSA-N
314,Phenol,1400000000,9.146128036,108-95-2,Oc1ccccc1,,,https://doi.org/10.1021/es1010225,alcohol,Oxygenated organics,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N
315,Phenol,11200000000,10.04921802,108-95-2,Oc1ccccc1,7,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N
316,Phenol,9000000000,9.954242509,108-95-2,Oc1ccccc1,7,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N
317,Phenolate,9600000000,9.982271233,31061-59-3,C1=CC=C(C=C1)[O-],,,https://doi.org/10.1021/es1010225,halogenated,Halogenated organics,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H/p-1",ISWSIDIOOBJBQZ-UHFFFAOYSA-M
318,p-Cresol,18100000000,10.25767857,106-44-5,Cc1ccc(O)cc1,,,NIST,benzene,Aromatic & PAHs,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",IWDCLRJOBJJRNH-UHFFFAOYSA-N
319,Nonylphenol,10000000000,10,84852-15-3,CCCCCCCCCC1=CC=CC=C1O,7,,https://doi.org/10.1021/acs.est.9b02462,cyclo,Aromatic & PAHs,"InChI=1S/C15H24O/c1-2-3-4-5-6-7-8-11-14-12-9-10-13-15(14)16/h9-10,12-13,16H,2-8,11H2,1H3",SNQQPOLDUKLAAF-UHFFFAOYSA-N
320,Bisphenol A,18200000000,10.26007139,68440-77-7,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,7,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons,"InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3",IISBACLAFKSPIT-UHFFFAOYSA-N
321,Bisphenol A,14500000000,10.161368,68440-77-7,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,7,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3",IISBACLAFKSPIT-UHFFFAOYSA-N
322,"Tyrosine, 2.2",11500000000,10.06069784,60-18-4,NC(Cc1ccc(O)cc1)C(=O)O,7,,https://doi.org/10.1021/acs.est.0c05596,halogenated,Halogenated organics,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)",OUYCCCASQSFEME-UHFFFAOYSA-N
323,Catechol,28200000000,10.45024911,82869-32-7,C1=CC=C(C(=C1)O)O,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",YCIMNLLNPGFGHC-UHFFFAOYSA-N
324,Resorcinol,14000000000,10.14612804,751455-55-7,C1=CC(=CC(=C1)O)O,7.5,,https://doi.org/10.1016/j.jhazmat.2021.126813,halogenated,Halogenated organics,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H",GHMLBKRAJCXXBS-UHFFFAOYSA-N
325,4-Methylcatechol,24900000000,10.39619935,1219803-18-5,CC1=CC(=C(C=C1)O)O,7,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons,"InChI=1S/C7H8O2/c1-5-2-3-6(8)7(9)4-5/h2-4,8-9H,1H3",ZBCATMYQYDCTIZ-UHFFFAOYSA-N
326,"Gallic acid, 4.5",18300000000,10.26245109,149-91-7,O=C(C1=CC(O)=C(O)C(O)=C1)O,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N
327,Pyrimidine,500000000,8.698970004,767-79-3,C1=CN=CN=C1,7,,https://doi.org/10.1021/acs.est.9b02462,cyclo,Aromatic & PAHs,InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H,CZPWVGJYEJSRLH-UHFFFAOYSA-N
328,Quinoline,12000000000,10.07918125,264920-37-8,C1=CC=C2C(=C1)C=CC=N2,,,https://doi.org/10.1021/ja00041a015,halogenated,Halogenated organics,InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H,SMWDFEZZVXVKRB-UHFFFAOYSA-N
329,Cafeine,14600000000,10.16435286,95789-13-2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,7,,https://doi.org/10.1021/acs.est.6b02287,halogenated,Halogenated organics,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N
330,Cafeine,38700000000,10.58771097,95789-13-2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N
331,Xanthine,38100000000,10.58092498,69-89-6,C1=NC2=C(N1)C(=O)NC(=O)N2,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)",LRFVTYWOQMYALW-UHFFFAOYSA-N
332,Theophylline,39800000000,10.59988307,28384-81-8,CN1C2=C(C(=O)N(C1=O)C)NC=N2,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",ZFXYFBGIUFBOJW-UHFFFAOYSA-N
333,DEET,3800000000,9.579783597,72236-23-8,CCN(CC)C(=O)C1=CC=CC(=C1)C,7,,https://doi.org/10.1021/acs.est.6b02287,alkane,Aliphatic hydrocarbons,"InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3",MMOXZBCLCQITDF-UHFFFAOYSA-N
334,Mecoprop,10800000000,10.03342376,37341-10-9,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O,7,,https://doi.org/10.1016/j.watres.2020.115784,alcohol,Oxygenated organics,"InChI=1S/C10H11ClO3/c1-6-5-8(11)3-4-9(6)14-7(2)10(12)13/h3-5,7H,1-2H3,(H,12,13)",WNTGYJSOUMFZEP-UHFFFAOYSA-N
335,Fluconazole,5500000000,9.740362689,1609495-95-5,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,7,,https://doi.org/10.1016/j.cej.2020.126224,halogenated,Halogenated organics,"InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2",RFHAOTPXVQNOHP-UHFFFAOYSA-N
336,Climbazole,63000000000,10.79934055,1185117-79-6,CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl,7,,https://doi.org/10.1016/j.cej.2020.126224,alcohol,Oxygenated organics,"InChI=1S/C15H17ClN2O2/c1-15(2,3)13(19)14(18-9-8-17-10-18)20-12-6-4-11(16)5-7-12/h4-10,14H,1-3H3",OWEGWHBOCFMBLP-UHFFFAOYSA-N
337,Atrazine,6870000000,9.836956737,163165-75-1,CCNC1=NC(=NC(=N1)Cl)NC(C)C,7,,https://doi.org/10.1016/j.watres.2020.115784,alkane,Aliphatic hydrocarbons,"InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)",MXWJVTOOROXGIU-UHFFFAOYSA-N
338,"Triclosan, 7.8–8.14",27600000000,10.44090908,3380-34-5,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,7,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized,"InChI=1S/C12H7Cl3O2/c13-7-1-3-11(9(15)5-7)17-12-4-2-8(14)6-10(12)16/h1-6,16H",XEFQLINVKFYRCS-UHFFFAOYSA-N
339,6-Aminopenicillanic acid,3400000000,9.531478917,551-16-6,CC1(C)SC2C(N)C(=O)N2C1C(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C8H12N2O3S/c1-8(2)4(7(12)13)10-5(11)3(9)6(10)14-8/h3-4,6H,9H2,1-2H3,(H,12,13)",NGHVIOIJCVXTGV-UHFFFAOYSA-N
340,"Amoxicilin, 2.6",12700000000,10.10380372,26787-78-0,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)",LSQZJLSUYDQPKJ-UHFFFAOYSA-N
341,"Amoxicilin, 2.6",7900000000,9.897627091,26787-78-0,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)",LSQZJLSUYDQPKJ-UHFFFAOYSA-N
342,Penicillin G,12500000000,10.09691001,61-33-6,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C16H18N2O4S/c1-16(2)12(15(21)22)18-13(20)11(14(18)23-16)17-10(19)8-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)",JGSARLDLIJGVTE-UHFFFAOYSA-N
343,Penicillin V,13100000000,10.1172713,87-08-1,CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C16H18N2O5S/c1-16(2)12(15(21)22)18-13(20)11(14(18)24-16)17-10(19)8-23-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)",BPLBGHOLXOTWMN-UHFFFAOYSA-N
344,7-Aminocephalosporanic acid,11400000000,10.05690485,957-68-6,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(N)C2SC1,7,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C10H12N2O5S/c1-4(13)17-2-5-3-18-9-6(11)8(14)12(9)7(5)10(15)16/h6,9H,2-3,11H2,1H3,(H,15,16)",HSHGZXNAXBPPDL-UHFFFAOYSA-N
345,Cefotaxime,23000000000,10.36172784,63527-52-6,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1,7,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized,"InChI=1S/C16H17N5O7S2/c1-6(22)28-3-7-4-29-14-10(13(24)21(14)11(7)15(25)26)19-12(23)9(20-27-2)8-5-30-16(17)18-8/h5,10,14H,3-4H2,1-2H3,(H2,17,18)(H,19,23)(H,25,26)",GPRBEKHLDVQUJE-UHFFFAOYSA-N
346,"Cephalexin, 2.6",21700000000,10.33645973,15686-71-2,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,7,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C16H17N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-6,10-11,15H,7,17H2,1H3,(H,18,20)(H,22,23)",ZAIPMKNFIOOWCQ-UHFFFAOYSA-N
347,Cefaclor,15900000000,10.20139712,53994-73-3,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1,7,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C15H14ClN3O4S/c16-8-6-24-14-10(13(21)19(14)11(8)15(22)23)18-12(20)9(17)7-4-2-1-3-5-7/h1-5,9-10,14H,6,17H2,(H,18,20)(H,22,23)",QYIYFLOTGYLRGG-UHFFFAOYSA-N
348,"Ciprofoxacin, 6.1",13900000000,10.1430148,85721-33-1,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,7,,https://doi.org/10.1021/acs.est.9b02462,benzene,Aromatic & PAHs,"InChI=1S/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)",MYSWGUAQZAJSOK-UHFFFAOYSA-N
349,"Enrofoxacin, 6.2",15300000000,10.18469143,93106-60-6,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,7,,https://doi.org/10.1021/acs.est.9b02462,cyclo,Aromatic & PAHs,"InChI=1S/C19H22FN3O3/c1-2-21-5-7-22(8-6-21)17-10-16-13(9-15(17)20)18(24)14(19(25)26)11-23(16)12-3-4-12/h9-12H,2-8H2,1H3,(H,25,26)",SPFYMRJSYKOXGV-UHFFFAOYSA-N
350,Ofoxacin,15400000000,10.18752072,82419-36-1,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,7,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics,"InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)",GSDSWSVVBLHKDQ-UHFFFAOYSA-N
351,Flumequine,7700000000,9.886490725,42835-25-6,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,7,,https://doi.org/10.1021/acs.est.9b02462,cyclo,Aromatic & PAHs,"InChI=1S/C14H12FNO3/c1-7-2-3-8-4-9(15)5-10-12(8)16(7)6-11(13(10)17)14(18)19/h4-7H,2-3H2,1H3,(H,18,19)",DPSPPJIUMHPXMA-UHFFFAOYSA-N
352,Azithromycin,7800000000,9.892094603,83905-01-5,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,7,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized,"InChI=1S/C38H72N2O12/c1-15-27-38(10,46)31(42)24(6)40(13)19-20(2)17-36(8,45)33(52-35-29(41)26(39(11)12)16-21(3)48-35)22(4)30(23(5)34(44)50-27)51-28-18-37(9,47-14)32(43)25(7)49-28/h20-33,35,41-43,45-46H,15-19H2,1-14H3",MQTOSJVFKKJCRP-UHFFFAOYSA-N
353,Azithromycin,8300000000,9.919078092,83905-01-5,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,7,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized,"InChI=1S/C38H72N2O12/c1-15-27-38(10,46)31(42)24(6)40(13)19-20(2)17-36(8,45)33(52-35-29(41)26(39(11)12)16-21(3)48-35)22(4)30(23(5)34(44)50-27)51-28-18-37(9,47-14)32(43)25(7)49-28/h20-33,35,41-43,45-46H,15-19H2,1-14H3",MQTOSJVFKKJCRP-UHFFFAOYSA-N
354,Erythromycin,6800000000,9.832508913,114-07-8,C[C@@H]([C@@H]([C@H](C(O[C@@H]([C@@]([C@H](O)[C@@H](C)C1=O)(C)O)CC)=O)C)O[C@H]2C[C@]([C@@H](O)[C@H](C)O2)(OC)C)[C@H]([C@](C)(O)C[C@H]1C)O[C@H](O[C@@H](C[C@@H]3N(C)C)C)[C@@H]3O,7,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized,"InChI=1S/C37H67NO13/c1-14-25-37(10,45)30(41)20(4)27(39)18(2)16-35(8,44)32(51-34-28(40)24(38(11)12)15-19(3)47-34)21(5)29(22(6)33(43)49-25)50-26-17-36(9,46-13)31(42)23(7)48-26/h18-26,28-32,34,40-42,44-45H,14-17H2,1-13H3/t18-,19-,20+,21+,22-,23+,24+,25-,26+,28-,29+,30-,31+,32-,34+,35-,36-,37-/m1/s1",ULGZDMOVFRHVEP-RWJQBGPGSA-N
355,Erythromycin,7000000000,9.84509804,114-07-8,C[C@@H]([C@@H]([C@H](C(O[C@@H]([C@@]([C@H](O)[C@@H](C)C1=O)(C)O)CC)=O)C)O[C@H]2C[C@]([C@@H](O)[C@H](C)O2)(OC)C)[C@H]([C@](C)(O)C[C@H]1C)O[C@H](O[C@@H](C[C@@H]3N(C)C)C)[C@@H]3O,7,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized,"InChI=1S/C37H67NO13/c1-14-25-37(10,45)30(41)20(4)27(39)18(2)16-35(8,44)32(51-34-28(40)24(38(11)12)15-19(3)47-34)21(5)29(22(6)33(43)49-25)50-26-17-36(9,46-13)31(42)23(7)48-26/h18-26,28-32,34,40-42,44-45H,14-17H2,1-13H3/t18-,19-,20+,21+,22-,23+,24+,25-,26+,28-,29+,30-,31+,32-,34+,35-,36-,37-/m1/s1",ULGZDMOVFRHVEP-RWJQBGPGSA-N
356,Roxithromycin,7200000000,9.857332496,80214-83-1,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,7,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized,"InChI=1S/C41H76N2O15/c1-15-29-41(10,49)34(45)24(4)31(42-53-21-52-17-16-50-13)22(2)19-39(8,48)36(58-38-32(44)28(43(11)12)18-23(3)54-38)25(5)33(26(6)37(47)56-29)57-30-20-40(9,51-14)35(46)27(7)55-30/h22-30,32-36,38,44-46,48-49H,15-21H2,1-14H3",RXZBMPWDPOLZGW-UHFFFAOYSA-N
357,Dimetridazole,4200000000,9.62324929,551-92-8,Cc1ncc([N+](=O)[O-])n1C,7,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons,"InChI=1S/C5H7N3O2/c1-4-6-3-5(7(4)2)8(9)10/h3H,1-2H3",IBXPYPUJPLLOIN-UHFFFAOYSA-N
358,Metronidazole,5640000000,9.751279104,443-48-1,Cc1ncc([N+](=O)[O-])n1CCO,7,,https://doi.org/10.1016/j.chemosphere.2019.02.081,alkane,Aliphatic hydrocarbons,"InChI=1S/C6H9N3O3/c1-5-7-4-6(9(11)12)8(5)2-3-10/h4,10H,2-3H2,1H3",VAOCPAMSLUNLGC-UHFFFAOYSA-N
359,Metronidazole,3100000000,9.491361694,443-48-1,Cc1ncc([N+](=O)[O-])n1CCO,7,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons,"InChI=1S/C6H9N3O3/c1-5-7-4-6(9(11)12)8(5)2-3-10/h4,10H,2-3H2,1H3",VAOCPAMSLUNLGC-UHFFFAOYSA-N
360,"Sulfanilamide, 2.0",31200000000,10.49415459,63-74-1,Nc1ccc(S(N)(=O)=O)cc1,7,,https://doi.org/10.1021/acs.est.9b02462,cyclo,Aromatic & PAHs,"InChI=1S/C6H8N2O2S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,7H2,(H2,8,9,10)",FDDDEECHVMSUSB-UHFFFAOYSA-N
361,"Sulfadimethoxine, 2.9",40800000000,10.61066016,122-11-2,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,7,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics,"InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)",ZZORFUFYDOWNEF-UHFFFAOYSA-N
362,"Sulfadiazine, 2.1",33500000000,10.52504481,68-35-9,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,7,,https://doi.org/10.1021/acs.est.9b02462,cyclo,Aromatic & PAHs,"InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14)",SEEPANYCNGTZFQ-UHFFFAOYSA-N
363,"Sulfamethazine, 2.6",32100000000,10.50650503,57-68-1,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,7,,https://doi.org/10.1021/acs.est.9b02462,benzene,Aromatic & PAHs,"InChI=1S/C12H14N4O2S/c1-8-7-9(2)15-12(14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)",ASWVTGNCAZCNNR-UHFFFAOYSA-N
