No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
225,SCN–,5300000000,9.72427587,2153478-57-8,[S-]C#N,,,https://doi.org/10.1039/A907133D,"sulfide, disulfide",Sulfur-containing organics,InChI=1S/CHNS/c2-1-3/h3H/p-1,ZMZDMBWJUHKJPS-UHFFFAOYSA-M
226,SCN–,5300000000,9.72427587,2153478-57-8,[S-]C#N,,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,InChI=1S/CHNS/c2-1-3/h3H/p-1,ZMZDMBWJUHKJPS-UHFFFAOYSA-M
227,N3 –,5200000000,9.716003344,500306-84-3,[N-]=[N+]=[N],,,https://doi.org/10.1039/A907133D,amine,Nitrogen-containing organics,InChI=1S/N3/c1-3-2,DUAJIKVIRGATIW-UHFFFAOYSA-N
228,NH2Cl,500000000,8.698970004,10599-90-3,NCl,,,https://doi.org/10.1021/acs.est.9b01212,halogenated,Halogenated organics,InChI=1S/ClH2N/c1-2/h2H2,QDHHCQZDFGDHMP-UHFFFAOYSA-N
229,Methanol,1000000000,9,67-56-1,CO,6,,https://doi.org/10.1039/A907133D,halogenated,Halogenated organics,"InChI=1S/CH4O/c1-2/h2H,1H3",OKKJLVBELUTLKV-UHFFFAOYSA-N
230,Methanol,1000000000,9,67-56-1,CO,5.4,,https://doi.org/10.1039/B212666D,halogenated,Halogenated organics,"InChI=1S/CH4O/c1-2/h2H,1H3",OKKJLVBELUTLKV-UHFFFAOYSA-N
231,Methanol,9000000000,9.954242509,67-56-1,CO,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/CH4O/c1-2/h2H,1H3",OKKJLVBELUTLKV-UHFFFAOYSA-N
232,Ethanol,2250000000,9.352182518,8013-52-3,CCO,2,,https://doi.org/10.1039/F19888403319,alkane,Aliphatic hydrocarbons,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N
233,Ethanol,1700000000,9.230448921,8013-52-3,CCO,6,,https://doi.org/10.1039/A907133D,alkane,Aliphatic hydrocarbons,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N
234,Ethanol,2200000000,9.342422681,8013-52-3,CCO,5.4,,https://doi.org/10.1039/B212666D,alkane,Aliphatic hydrocarbons,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N
