No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
357,Cyclo(Ala)2,8.2,0.91,54300-25-3,C[C@H](N1)C(N[C@@H](C)C1=O)=O,,,https://doi.org/10.1016/j.watres.2007.07.025,cyclo,Aliphatic hydrocarbons,"InChI=1S/C6H10N2O2/c1-3-5(9)8-4(2)6(10)7-3/h3-4H,1-2H3,(H,7,10)(H,8,9)/t3-,4-/m0/s1",WWISPHBAYBECQZ-IMJSIDKUSA-N
358,Cyclo(Gly-Pro),11.1,1.05,37783-51-0,O=C1N2[C@@H](CCC2)C(NC1)=O,,,https://kinetics.nist.gov/solution/,cyclo,Aliphatic hydrocarbons,"InChI=1S/C7H10N2O2/c10-6-4-8-7(11)5-2-1-3-9(5)6/h5H,1-4H2,(H,8,11)/t5-/m0/s1",OWOHLURDBZHNGG-YFKPBYRVSA-N
359,Uridine-5'- monophosphate (UMP),5500,3.74,3387-36-8,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO[P](O)(O)=O)N2C=CC(=O)NC2=O,,,https://doi.org/10.1016/j.watres.2007.07.025,phosphorus,Phosphorus-containing organics,"InChI=1S/C9H13N2O9P/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",DJJCXFVJDGTHFX-XVFCMESISA-N
360,Thymidine-5'- monophosphate (TMP),4300,3.63,55065-40-2,CC1=CN([C@H]2C[C@H](O)[C@@H](CO[P](O)(O)=O)O2)C(=O)NC1=O,,,https://doi.org/10.1016/j.watres.2007.07.025,phosphorus,Phosphorus-containing organics,"InChI=1S/C10H15N2O8P/c1-5-3-12(10(15)11-9(5)14)8-2-6(13)7(20-8)4-19-21(16,17)18/h3,6-8,13H,2,4H2,1H3,(H,11,14,15)(H2,16,17,18)/t6-,7+,8+/m0/s1",GYOZYWVXFNDGLU-XLPZGREQSA-N
361,Cyclo(Ser)2,16,1.2,65519-48-4,O=C(N[C@H]1CO)[C@@H](NC1=O)CO,,,https://doi.org/10.1016/j.watres.2007.07.025,cyclo,Aliphatic hydrocarbons,"InChI=1S/C6H10N2O4/c9-1-3-5(11)8-4(2-10)6(12)7-3/h3-4,9-10H,1-2H2,(H,7,12)(H,8,11)/t3-,4-/m0/s1",SUWGHSHLNOADHI-IMJSIDKUSA-N
362,MeNH2,45100,4.65,1217607-94-7,CN,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/CH5N/c1-2/h2H2,1H3",BAVYZALUXZFZLV-UHFFFAOYSA-N
363,EtNH2,24000,4.38,41841-87-6,CCN,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3",QUSNBJAOOMFDIB-UHFFFAOYSA-N
364,PrNH2,39000,4.59,260363-35-7,CCCN,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C3H9N/c1-2-3-4/h2-4H2,1H3",WGYKZJWCGVVSQN-UHFFFAOYSA-N
365,BuNH2,33500,4.53,71361-15-4,CCCCN,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",HQABUPZFAYXKJW-UHFFFAOYSA-N
366,IPrNH2,31000,4.49,75-31-0,CC(C)N,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C3H9N/c1-3(2)4/h3H,4H2,1-2H3",JJWLVOIRVHMVIS-UHFFFAOYSA-N
367,IBuNH2,30500,4.48,108-09-8,CC(C)CN,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C4H11N/c1-4(2)3-5/h4H,3,5H2,1-2H3",KDSNLYIMUZNERS-UHFFFAOYSA-N
368,Isobutylamine,15000,4.18,78-81-9,CCC(C)N,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C4H11N/c1-3-4(2)5/h4H,3,5H2,1-2H3",BHRZNVHARXXAHW-UHFFFAOYSA-N
369,tBuNH2,6850,3.84,75-64-9,CC(C)(C)N,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C4H11N/c1-4(2,3)5/h5H2,1-3H3",YBRBMKDOPFTVDT-UHFFFAOYSA-N
370,Me2NH,21766.67,4.34,15875-96-4,CNC,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",ROSDSFDQCJNGOL-UHFFFAOYSA-N
371,N-Methylethanamine,5400,3.73,624-78-2,CCNC,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C3H9N/c1-3-4-2/h4H,3H2,1-2H3",LIWAQLJGPBVORC-UHFFFAOYSA-N
372,Et2NH,4200,3.62,3226-94-6,CCNCC,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",HPNMFZURTQLUMO-UHFFFAOYSA-N
373,Pr2NH,3300,3.52,70237-41-1,CCCNCCC,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3",WEHWNAOGRSTTBQ-UHFFFAOYSA-N
374,iPr2NH,405,2.61,819-79-4,CC(C)NC(C)C,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C6H15N/c1-5(2)7-6(3)4/h5-7H,1-4H3",UAOMVDZJSHZZME-UHFFFAOYSA-N
