No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
451,Atrazine,0.361727836,1912-24-9,CCNC1=NC(=NC(=N1)Cl)NC(C)C,2,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)",MXWJVTOOROXGIU-UHFFFAOYSA-N
452,Atrazine,1.079181246,1912-24-9,CCNC1=NC(=NC(=N1)Cl)NC(C)C,7.5,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)",MXWJVTOOROXGIU-UHFFFAOYSA-N
453,Atrazine,0.653212514,1912-24-9,CCNC1=NC(=NC(=N1)Cl)NC(C)C,2,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)",MXWJVTOOROXGIU-UHFFFAOYSA-N
454,Atrazine,2,163165-75-1,CCNc1nc(Cl)nc(NC(C)C)n1,,,https://doi.org/10.1016/j.jece.2024.112473,alkane,Aliphatic hydrocarbons,"InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)",MXWJVTOOROXGIU-UHFFFAOYSA-N
455,Atrazine,1.113943352,1912-24-9,CCNC1=NC(=NC(=N1)Cl)NC(C)C,4.2,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)",MXWJVTOOROXGIU-UHFFFAOYSA-N
456,Azacyclonol,2.54,1798-50-1,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,,,https://doi.org/10.1016/j.jece.2024.112473,alcohol,Oxygenated organics,"InChI=1S/C18H21NO/c20-18(15-7-3-1-4-8-15,16-9-5-2-6-10-16)17-11-13-19-14-12-17/h1-10,17,19-20H,11-14H2",ZMISODWVFHHWNR-UHFFFAOYSA-N
457,Azobenzene,2.342422681,151224-49-6,C1=CC=C(C=C1)N=NC2=CC=CC=C2,2,,https://doi.org/10.1016/0043-1354(83)90098-2,cyclo,Aromatic & PAHs,InChI=1S/C12H10N2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10H,DMLAVOWQYNRWNQ-UHFFFAOYSA-N
458,Azobenzene,2.342422681,151224-49-6,C1=CC=C(C=C1)N=NC2=CC=CC=C2,2,,10.1016/0043-1354(91)90155-J,cyclo,Aromatic & PAHs,InChI=1S/C12H10N2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10H,DMLAVOWQYNRWNQ-UHFFFAOYSA-N
459,Benzaldehyde,0.397940009,17901-93-8,C1=CC=C(C=C1)C=O,1.7,,https://doi.org/10.1016/0043-1354(83)90098-2,halogenated,Halogenated organics,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,HUMNYLRZRPPJDN-UHFFFAOYSA-N
460,Benzaldehyde,0.4,51748-27-7,O=Cc1ccccc1,,,https://doi.org/10.1016/j.jece.2024.112473,benzene,Aromatic & PAHs,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,HUMNYLRZRPPJDN-UHFFFAOYSA-N
461,Benzaldehyde,0.397940009,17901-93-8,C1=CC=C(C=C1)C=O,1.7,,10.1016/0043-1354(83)90098-2,halogenated,Halogenated organics,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,HUMNYLRZRPPJDN-UHFFFAOYSA-N
462,Benzene,0.301029996,64268-28-6,C1=CC=CC=C1,2.8,,doi.org/10.1016/j.watres.2012.06.006,cyclo,Aromatic & PAHs,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N
463,Benzene,0.301029996,64268-28-6,C1=CC=CC=C1,,,https://doi.org/10.1016/0043-1354(83)90098-2,cyclo,Aromatic & PAHs,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N
464,Benzene,0.301029996,64268-28-6,C1=CC=CC=C1,1.7-3,,https://doi.org/10.1016/0043-1354(83)90098-2,cyclo,Aromatic & PAHs,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N
465,Benzene,0.301029996,64268-28-6,C1=CC=CC=C1,,,doi.org/10.1016/j.watres.2012.06.006,cyclo,Aromatic & PAHs,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N
466,Benzene sulfonate ion,-0.638272164,3198-32-1,O=S(C1=CC=CC=C1)(=O)[O-],1.7-2,,https://doi.org/10.1016/0043-1354(83)90098-2,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C6H6O3S/c7-10(8,9)6-4-2-1-3-5-6/h1-5H,(H,7,8,9)/p-1",SRSXLGNVWSONIS-UHFFFAOYSA-M
467,Benzene sulfonate ion,-0.638272164,3198-32-1,O=S(C1=CC=CC=C1)(=O)[O-],,,doi.org/10.1016/j.watres.2012.06.006,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C6H6O3S/c7-10(8,9)6-4-2-1-3-5-6/h1-5H,(H,7,8,9)/p-1",SRSXLGNVWSONIS-UHFFFAOYSA-M
468,Benzene sulfonate ion,-1.638272164,3198-32-1,O=S(C1=CC=CC=C1)(=O)[O-],1.8,,doi.org/10.1016/j.watres.2012.06.006,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C6H6O3S/c7-10(8,9)6-4-2-1-3-5-6/h1-5H,(H,7,8,9)/p-1",SRSXLGNVWSONIS-UHFFFAOYSA-M
