No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
507,C2H5CO2H,-3.397940009,79-09-4,CCC(O)=O,2,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",XBDQKXXYIPTUBI-UHFFFAOYSA-N
508,C2H5O2CCH2CO2C2H5,-1.22184875,105-53-3,O=C(OCC)CC(OCC)=O,2,,NIST,halogenated,Halogenated organics,"InChI=1S/C7H12O4/c1-3-10-6(8)5-7(9)11-4-2/h3-5H2,1-2H3",IYXGSMUGOJNHAZ-UHFFFAOYSA-N
509,C2H5SH,5.477121255,75-08-1,CCS,4.7,,10.1016/j.cej.2018.11.005,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C2H6S/c1-2-3/h3H,2H2,1H3",DNJIEGIFACGWOD-UHFFFAOYSA-N
510,C6Cl5OH,5.477121255,87-86-5,ClC1=C(O)C(Cl)=C(Cl)C(Cl)=C1Cl,2,,NIST,cyclo,Aromatic & PAHs,InChI=1S/C6HCl5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H,IZUPBVBPLAPZRR-UHFFFAOYSA-N
511,C6H5CH(CH3)2,1.041392685,98-82-8,CC(C)C1=CC=CC=C1,2,,NIST,cyclo,Aromatic & PAHs,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3",RWGFKTVRMDUZSP-UHFFFAOYSA-N
512,C6H5CH2CHCH2,5.079181246,300-57-2,C=CCC1=CC=CC=C1,2,,NIST,cyclo,Aromatic & PAHs,"InChI=1S/C9H10/c1-2-6-9-7-4-3-5-8-9/h2-5,7-8H,1,6H2",HJWLCRVIBGQPNF-UHFFFAOYSA-N
513,C6H5CH3,1.146128036,108-88-3,CC1=CC=CC=C1,1.7,,NIST,cyclo,Aromatic & PAHs,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",YXFVVABEGXRONW-UHFFFAOYSA-N
514,C6H5CO2-,0.079181246,766-76-7,[O-]C(C1=CC=CC=C1)=O,5,,NIST,halogenated,Halogenated organics,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)/p-1",WPYMKLBDIGXBTP-UHFFFAOYSA-M
515,C6H5Cl,-0.124938737,108-90-7,C1=CC=C(C=C1)Cl,2,,NIST,halogenated,Halogenated organics,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N
516,C6H5NH2,7.954242509,62-53-3,C1=CC=C(C=C1)N,,,NIST,halogenated,Halogenated organics,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",PAYRUJLWNCNPSJ-UHFFFAOYSA-N
517,C6H5NNC6H5,2.342422681,103-33-3,C1(/N=N/C2=CC=CC=C2)=CC=CC=C1,2,,NIST,cyclo,Aromatic & PAHs,InChI=1S/C12H10N2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10H/b14-13+,DMLAVOWQYNRWNQ-BUHFOSPRSA-N
518,C6H5NO2,-1.045757491,98-95-3,C1=C(C=NC=C1O)C=O,2,,NIST,halogenated,Halogenated organics,"InChI=1S/C6H5NO2/c8-4-5-1-6(9)3-7-2-5/h1-4,9H",LMCXPBAARDWGRD-UHFFFAOYSA-N
519,C6H5O-,9.146128036,3229-70-7,[O-]C1=CC=CC=C1,,,NIST,cyclo,Aromatic & PAHs,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H/p-1",ISWSIDIOOBJBQZ-UHFFFAOYSA-M
520,C6H5OH,4.462397998,108-95-2,C1=CC=C(C=C1)O,5.2,,NIST,halogenated,Halogenated organics,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N
521,C6H5OH,3.322219295,108-95-2,C1=CC=C(C=C1)O,2.7,,NIST,halogenated,Halogenated organics,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N
522,C6H5OH,2.397940009,108-95-2,C1=CC=C(C=C1)O,9,,NIST,halogenated,Halogenated organics,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N
