No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
131,cephalexin,506000000,8.704150517,2101505-56-8,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C16H17N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-6,10-11,15H,7,17H2,1H3,(H,18,20)(H,22,23)/t10-,11-,15-/m1/s1",ZAIPMKNFIOOWCQ-UEKVPHQBSA-N
132,cefaclor,368000000,8.565847819,2747959-02-8,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)Cl,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C15H14ClN3O4S/c16-8-6-24-14-10(13(21)19(14)11(8)15(22)23)18-12(20)9(17)7-4-2-1-3-5-7/h1-5,9-10,14H,6,17H2,(H,18,20)(H,22,23)/t9-,10-,14-/m1/s1",QYIYFLOTGYLRGG-GPCCPHFNSA-N
133,penicillin G,330000000,8.51851394,8069-87-2,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,7,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C16H18N2O4S/c1-16(2)12(15(21)22)18-13(20)11(14(18)23-16)17-10(19)8-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/t11-,12+,14-/m1/s1",JGSARLDLIJGVTE-MBNYWOFBSA-N
134,penicillin V,336000000,8.526339277,148680-07-3,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C,7,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C16H18N2O5S/c1-16(2)12(15(21)22)18-13(20)11(14(18)24-16)17-10(19)8-23-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/t11-,12+,14-/m1/s1",BPLBGHOLXOTWMN-MBNYWOFBSA-N
135,ciprofloxacin,219000000,8.340444115,93398-92-6,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)",MYSWGUAQZAJSOK-UHFFFAOYSA-N
136,enrofloxacin,327000000,8.514547753,1219795-24-0,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C19H22FN3O3/c1-2-21-5-7-22(8-6-21)17-10-16-13(9-15(17)20)18(24)14(19(25)26)11-23(16)12-3-4-12/h9-12H,2-8H2,1H3,(H,25,26)",SPFYMRJSYKOXGV-UHFFFAOYSA-N
137,flumequine,94000000,7.973127854,42835-68-7,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C14H12FNO3/c1-7-2-3-8-4-9(15)5-10-12(8)16(7)6-11(13(10)17)14(18)19/h4-7H,2-3H2,1H3,(H,18,19)",DPSPPJIUMHPXMA-UHFFFAOYSA-N
138,ofloxacin,348000000,8.541579244,97791-27-0,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)",GSDSWSVVBLHKDQ-UHFFFAOYSA-N
139,azithromycin,5000000,6.698970004,756825-20-4,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,7,,https://doi.org/10.1021/acs.est.9b02462,amine,Nitrogen-containing organics,"InChI=1S/C38H72N2O12/c1-15-27-38(10,46)31(42)24(6)40(13)19-20(2)17-36(8,45)33(52-35-29(41)26(39(11)12)16-21(3)48-35)22(4)30(23(5)34(44)50-27)51-28-18-37(9,47-14)32(43)25(7)49-28/h20-33,35,41-43,45-46H,15-19H2,1-14H3/t20-,21-,22+,23-,24-,25+,26+,27-,28+,29-,30+,31-,32+,33-,35+,36-,37-,38-/m1/s1",MQTOSJVFKKJCRP-BICOPXKESA-N
140,erythromycin,5000000,6.698970004,40554-78-7,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,7,,https://doi.org/10.1021/acs.est.9b02462,amine,Nitrogen-containing organics,"InChI=1S/C37H67NO13/c1-14-25-37(10,45)30(41)20(4)27(39)18(2)16-35(8,44)32(51-34-28(40)24(38(11)12)15-19(3)47-34)21(5)29(22(6)33(43)49-25)50-26-17-36(9,46-13)31(42)23(7)48-26/h18-26,28-32,34,40-42,44-45H,14-17H2,1-13H3/t18-,19-,20+,21+,22-,23+,24+,25-,26+,28-,29+,30-,31+,32-,34+,35-,36-,37-/m1/s1",ULGZDMOVFRHVEP-RWJQBGPGSA-N
141,erythromycin,5000000,6.698970004,40554-78-7,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,7,,https://doi.org/10.1021/acs.est.9b02462,amine,Nitrogen-containing organics,"InChI=1S/C37H67NO13/c1-14-25-37(10,45)30(41)20(4)27(39)18(2)16-35(8,44)32(51-34-28(40)24(38(11)12)15-19(3)47-34)21(5)29(22(6)33(43)49-25)50-26-17-36(9,46-13)31(42)23(7)48-26/h18-26,28-32,34,40-42,44-45H,14-17H2,1-13H3/t18-,19-,20+,21+,22-,23+,24+,25-,26+,28-,29+,30-,31+,32-,34+,35-,36-,37-/m1/s1",ULGZDMOVFRHVEP-RWJQBGPGSA-N
142,tylosin,46000000,7.662757832,74610-55-2,CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,7,,https://doi.org/10.1021/acs.est.9b02462,amine,Nitrogen-containing organics,"InChI=1S/C46H77NO17/c1-13-33-30(22-58-45-42(57-12)41(56-11)37(52)26(5)60-45)18-23(2)14-15-31(49)24(3)19-29(16-17-48)39(25(4)32(50)20-34(51)62-33)64-44-38(53)36(47(9)10)40(27(6)61-44)63-35-21-46(8,55)43(54)28(7)59-35/h14-15,17-18,24-30,32-33,35-45,50,52-55H,13,16,19-22H2,1-12H3/b15-14+,23-18+/t24-,25+,26-,27-,28+,29+,30-,32-,33-,35+,36-,37-,38-,39-,40-,41-,42-,43+,44+,45-,46-/m1/s1",WBPYTXDJUQJLPQ-VMXQISHHSA-N
143,dimetridazole,84000000,7.924279286,64678-69-9,CC1=NC=C(N1C)[N+](=O)[O-],7,,https://doi.org/10.1021/acs.est.9b02462,imidazole,Heterocycles,"InChI=1S/C5H7N3O2/c1-4-6-3-5(7(4)2)8(9)10/h3H,1-2H3",IBXPYPUJPLLOIN-UHFFFAOYSA-N
144,metronidazole,124000000,8.093421685,13182-89-3,CC1=NC=C(N1CCO)[N+](=O)[O-],7,,https://doi.org/10.1021/acs.est.9b02462,imidazole,Heterocycles,"InChI=1S/C6H9N3O3/c1-5-7-4-6(9(11)12)8(5)2-3-10/h4,10H,2-3H2,1H3",VAOCPAMSLUNLGC-UHFFFAOYSA-N
145,ornidazole,93000000,7.968482949,2389060-45-9,CC1=NC=C(N1CC(CCl)O)[N+](=O)[O-],7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C7H10ClN3O3/c1-5-9-3-7(11(13)14)10(5)4-6(12)2-8/h3,6,12H,2,4H2,1H3",IPWKIXLWTCNBKN-UHFFFAOYSA-N
146,ronidazole,155000000,8.190331698,7681-76-7,CN1C(=CN=C1COC(=O)N)[N+](=O)[O-],7,,https://doi.org/10.1021/acs.est.9b02462,imidazole,Heterocycles,"InChI=1S/C6H8N4O4/c1-9-4(3-14-6(7)11)8-2-5(9)10(12)13/h2H,3H2,1H3,(H2,7,11)",PQFRTXSWDXZRRS-UHFFFAOYSA-N
147,sulfanilamide,432000000,8.635483747,130249-47-7,C1=CC(=CC=C1N)S(=O)(=O)N,7,,https://doi.org/10.1021/acs.est.9b02462,sulfoxide,Sulfur-containing organics,"InChI=1S/C6H8N2O2S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,7H2,(H2,8,9,10)",FDDDEECHVMSUSB-UHFFFAOYSA-N
148,sulfadimethoxine,446000000,8.649334859,345936-70-1,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC,7,,https://doi.org/10.1021/acs.est.9b02462,sulfoxide,Sulfur-containing organics,"InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)",ZZORFUFYDOWNEF-UHFFFAOYSA-N
149,sulfadiazine,427000000,8.630427875,1219149-66-2,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,7,,https://doi.org/10.1021/acs.est.9b02462,sulfoxide,Sulfur-containing organics,"InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14)",SEEPANYCNGTZFQ-UHFFFAOYSA-N
150,sulfamethazine,485000000,8.685741739,53081-02-0,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,7,,https://doi.org/10.1021/acs.est.9b02462,sulfoxide,Sulfur-containing organics,"InChI=1S/C12H14N4O2S/c1-8-7-9(2)15-12(14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)",ASWVTGNCAZCNNR-UHFFFAOYSA-N
151,sulfamethoxazole,472000000,8.673941999,1346603-52-8,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,7,,https://doi.org/10.1021/acs.est.9b02462,sulfoxide,Sulfur-containing organics,"InChI=1S/C10H11N3O3S/c1-7-6-10(12-16-7)13-17(14,15)9-4-2-8(11)3-5-9/h2-6H,11H2,1H3,(H,12,13)",JLKIGFTWXXRPMT-UHFFFAOYSA-N
152,sulfathiazole,508000000,8.705863712,1020719-89-4,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,7,,https://doi.org/10.1021/acs.est.9b02462,sulfoxide,Sulfur-containing organics,"InChI=1S/C9H9N3O2S2/c10-7-1-3-8(4-2-7)16(13,14)12-9-11-5-6-15-9/h1-6H,10H2,(H,11,12)",JNMRHUJNCSQMMB-UHFFFAOYSA-N
153,chlortetracycline,850000000,8.929418926,51209-76-8,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C22H23ClN2O8/c1-21(32)7-6-8-15(25(2)3)17(28)13(20(24)31)19(30)22(8,33)18(29)11(7)16(27)12-10(26)5-4-9(23)14(12)21/h4-5,7-8,15,26-27,30,32-33H,6H2,1-3H3,(H2,24,31)/t7-,8-,15-,21-,22-/m0/s1",DHPRQBPJLMKORJ-XRNKAMNCSA-N
154,doxycycline,1135000000,9.054995862,1902958-13-7,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C22H24N2O8/c1-7-8-5-4-6-9(25)11(8)16(26)12-10(7)17(27)14-15(24(2)3)18(28)13(21(23)31)20(30)22(14,32)19(12)29/h4-7,10,14-15,17,25-27,30,32H,1-3H3,(H2,23,31)/t7-,10+,14+,15-,17-,22-/m0/s1",SGKRLCUYIXIAHR-AKNGSSGZSA-N
155,oxytetracycline,936000000,8.971275849,8017-33-2,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C22H24N2O9/c1-21(32)7-5-4-6-8(25)9(7)15(26)10-12(21)17(28)13-14(24(2)3)16(27)11(20(23)31)19(30)22(13,33)18(10)29/h4-6,12-14,17,25-26,28,30,32-33H,1-3H3,(H2,23,31)/t12-,13-,14+,17+,21-,22+/m1/s1",OWFJMIVZYSDULZ-PXOLEDIWSA-N
156,tetracycline,1180000000,9.071882007,84187-37-1,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C22H24N2O8/c1-21(31)8-5-4-6-11(25)12(8)16(26)13-9(21)7-10-15(24(2)3)17(27)14(20(23)30)19(29)22(10,32)18(13)28/h4-6,9-10,15,25-26,29,31-32H,7H2,1-3H3,(H2,23,30)/t9-,10-,15-,21+,22-/m0/s1",NWXMGUDVXFXRIG-WESIUVDSSA-N
157,bezafibrate,324000000,8.51054501,153758-85-1,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)",IIBYAHWJQTYFKB-UHFFFAOYSA-N
158,clofibric acid,141000000,8.149219113,72072-47-0,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C10H11ClO3/c1-10(2,9(12)13)14-8-5-3-7(11)4-6-8/h3-6H,1-2H3,(H,12,13)",TXCGAZHTZHNUAI-UHFFFAOYSA-N
159,gemfibrozil,287000000,8.457881897,86837-66-3,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,carboxylic acid,Oxygenated organics,"InChI=1S/C15H22O3/c1-11-6-7-12(2)13(10-11)18-9-5-8-15(3,4)14(16)17/h6-7,10H,5,8-9H2,1-4H3,(H,16,17)",HEMJJKBWTPKOJG-UHFFFAOYSA-N
160,caffeine,928000000,8.967547976,78072-66-9,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,7,,https://doi.org/10.1021/acs.est.9b02462,imidazole,Heterocycles,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N
161,theophylline,878000000,8.943494516,28384-81-8,CN1C2=C(C(=O)N(C1=O)C)NC=N2,7,,https://doi.org/10.1021/acs.est.9b02462,imidazole,Heterocycles,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",ZFXYFBGIUFBOJW-UHFFFAOYSA-N
162,xanthine,185000000,8.267171728,69-89-6,C1=NC2=C(N1)C(=O)NC(=O)N2,7,,https://doi.org/10.1021/acs.est.9b02462,heterocycle,Heterocycles,"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)",LRFVTYWOQMYALW-UHFFFAOYSA-N
163,cimetidine,2778000000,9.443732241,38603-74-6,CC1=C(N=CN1)CSCCNC(=NC)NC#N,7,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C10H16N6S/c1-8-9(16-7-15-8)5-17-4-3-13-10(12-2)14-6-11/h7H,3-5H2,1-2H3,(H,15,16)(H2,12,13,14)",AQIXAKUUQRKLND-UHFFFAOYSA-N
164,famotidine,1652000000,9.218010043,1798006-30-0,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,7,,https://doi.org/10.1021/acs.est.9b02462,sulfoxide,Sulfur-containing organics,"InChI=1S/C8H15N7O2S3/c9-6(15-20(12,16)17)1-2-18-3-5-4-19-8(13-5)14-7(10)11/h4H,1-3H2,(H2,9,15)(H2,12,16,17)(H4,10,11,13,14)",XUFQPHANEAPEMJ-UHFFFAOYSA-N
165,carbamazepine,43000000,7.633468456,1189902-21-3,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,7,,https://doi.org/10.1021/acs.est.9b02462,urea,Nitrogen-containing organics,"InChI=1S/C15H12N2O/c16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h1-10H,(H2,16,18)",FFGPTBGBLSHEPO-UHFFFAOYSA-N
166,clenbuterol,554000000,8.743509765,37159-31-2,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C12H18Cl2N2O/c1-12(2,3)16-6-10(17)7-4-8(13)11(15)9(14)5-7/h4-5,10,16-17H,6,15H2,1-3H3",STJMRWALKKWQGH-UHFFFAOYSA-N
167,iopromide,2054000000,9.312600439,185459-57-8,CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)NC(=O)COC)I,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C18H24I3N3O8/c1-24(4-9(28)6-26)18(31)12-13(19)11(17(30)22-3-8(27)5-25)14(20)16(15(12)21)23-10(29)7-32-2/h8-9,25-28H,3-7H2,1-2H3,(H,22,30)(H,23,29)",DGAIEPBNLOQYER-UHFFFAOYSA-N
168,mabuterol,348000000,8.541579244,56707-26-7,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)C(F)(F)F)O,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C13H18ClF3N2O/c1-12(2,3)19-6-10(20)7-4-8(13(15,16)17)11(18)9(14)5-7/h4-5,10,19-20H,6,18H2,1-3H3",JSJCTEKTBOKRST-UHFFFAOYSA-N
169,mesalazine,1424000000,9.153509989,121887-11-4,C1=CC(=C(C=C1N)C(=O)O)O,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C7H7NO3/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,9H,8H2,(H,10,11)",KBOPZPXVLCULAV-UHFFFAOYSA-N
170,mesalazine,21000000,7.322219295,121887-11-4,C1=CC(=C(C=C1N)C(=O)O)O,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C7H7NO3/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,9H,8H2,(H,10,11)",KBOPZPXVLCULAV-UHFFFAOYSA-N
171,primidone,158000000,8.198657087,125-33-7,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,7,,https://doi.org/10.1021/acs.est.9b02462,amide,Nitrogen-containing organics,"InChI=1S/C12H14N2O2/c1-2-12(9-6-4-3-5-7-9)10(15)13-8-14-11(12)16/h3-7H,2,8H2,1H3,(H,13,15)(H,14,16)",DQMZLTXERSFNPB-UHFFFAOYSA-N
172,salbutamol,302000000,8.480006943,238762-34-0,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",NDAUXUAQIAJITI-UHFFFAOYSA-N
173,salicylic acid,210000000,8.322219295,1189678-81-6,C1=CC=C(C(=C1)C(=O)O)O,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",YGSDEFSMJLZEOE-UHFFFAOYSA-N
174,sucralose,1000000,6,848642-13-7,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CCl)O)O)CCl)O)O)Cl)O,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C12H19Cl3O8/c13-1-4-7(17)10(20)12(3-14,22-4)23-11-9(19)8(18)6(15)5(2-16)21-11/h4-11,16-20H,1-3H2/t4-,5-,6+,7-,8+,9-,10+,11-,12+/m1/s1",BAQAVOSOZGMPRM-QBMZZYIRSA-N
175,terbutaline,1205000000,9.080987047,28924-20-1,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C12H19NO3/c1-12(2,3)13-7-11(16)8-4-9(14)6-10(15)5-8/h4-6,11,13-16H,7H2,1-3H3",XWTYSIMOBUGWOL-UHFFFAOYSA-N
176,triclosan,248000000,8.394451681,1020720-00-6,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C12H7Cl3O2/c13-7-1-3-11(9(15)5-7)17-12-4-2-8(14)6-10(12)16/h1-6,16H",XEFQLINVKFYRCS-UHFFFAOYSA-N
177,trimethoprim,1878000000,9.273695588,304671-81-6,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,7,,https://doi.org/10.1021/acs.est.9b02462,amine,Nitrogen-containing organics,"InChI=1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)",IEDVJHCEMCRBQM-UHFFFAOYSA-N
178,venlafaxine,358000000,8.553883027,940297-06-3,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,7,,https://doi.org/10.1021/acs.est.9b02462,amine,Nitrogen-containing organics,"InChI=1S/C17H27NO2/c1-18(2)13-16(17(19)11-5-4-6-12-17)14-7-9-15(20-3)10-8-14/h7-10,16,19H,4-6,11-13H2,1-3H3",PNVNVHUZROJLTJ-UHFFFAOYSA-N
179,dimethyl phthalate,14000000,7.146128036,198283-80-6,COC(=O)C1=CC=CC=C1C(=O)OC,7,,https://doi.org/10.1021/acs.est.9b02462,ester,Oxygenated organics,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3",NIQCNGHVCWTJSM-UHFFFAOYSA-N
180,diethyl phthalate,11000000,7.041392685,1817006-92-0,CCOC(=O)C1=CC=CC=C1C(=O)OCC,7,,https://doi.org/10.1021/acs.est.9b02462,ester,Oxygenated organics,"InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3",FLKPEMZONWLCSK-UHFFFAOYSA-N
181,dibutyl phthalate,11000000,7.041392685,93952-11-5,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,7,,https://doi.org/10.1021/acs.est.9b02462,ester,Oxygenated organics,"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3",DOIRQSBPFJWKBE-UHFFFAOYSA-N
182,estrone (E1),366000000,8.563481085,15426-98-9,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1",DNXHEGUUPJUMQT-CBZIJGRNSA-N
183,estradiol (E2),396000000,8.597695186,50-28-2,OC1=CC2=C(C=C1)[C@]3([H])[C@@]([C@@](CC[C@@H]4O)([H])[C@]4(C)CC3)([H])CC2,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1",VOXZDWNPVJITMN-ZBRFXRBCSA-N
184,ethinyl estradiol (EE2),396000000,8.597695186,57-63-6,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C20H24O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,5,7,12,16-18,21-22H,4,6,8-11H2,2H3",BFPYWIDHMRZLRN-UHFFFAOYSA-N
185,bisphenol A,582000000,8.764922985,68440-77-7,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3",IISBACLAFKSPIT-UHFFFAOYSA-N
186,methylparaben,161000000,8.206825876,222545-59-7,COC(=O)C1=CC=C(C=C1)O,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C8H8O3/c1-11-8(10)6-2-4-7(9)5-3-6/h2-5,9H,1H3",LXCFILQKKLGQFO-UHFFFAOYSA-N
