No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
82,Paracetamol,,8.6355,58357-81-6,CC(=O)NC1=CC=C(C=C1)O,,,https://doi.org/10.1016/j.chemosphere.2023.138839,phenol,Oxygenated organics,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",RZVAJINKPMORJF-UHFFFAOYSA-N
83,Amoxicillin,,8.6233,2088960-43-2,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,,,https://doi.org/10.1016/j.chemosphere.2023.138840,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)/t9-,10-,11+,14-/m1/s1",LSQZJLSUYDQPKJ-NJBDSQKTSA-N
84,Oxytetracycline,,8.9713,8017-33-2,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138841,phenol,Oxygenated organics,"InChI=1S/C22H24N2O9/c1-21(32)7-5-4-6-8(25)9(7)15(26)10-12(21)17(28)13-14(24(2)3)16(27)11(20(23)31)19(30)22(13,33)18(10)29/h4-6,12-14,17,25-26,28,30,32-33H,1-3H3,(H2,23,31)/t12-,13-,14+,17+,21-,22+/m1/s1",OWFJMIVZYSDULZ-PXOLEDIWSA-N
85,Chlortetracycline,,8.9294,51209-76-8,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,,,https://doi.org/10.1016/j.chemosphere.2023.138842,halogenated,Halogenated organics,"InChI=1S/C22H23ClN2O8/c1-21(32)7-6-8-15(25(2)3)17(28)13(20(24)31)19(30)22(8,33)18(29)11(7)16(27)12-10(26)5-4-9(23)14(12)21/h4-5,7-8,15,26-27,30,32-33H,6H2,1-3H3,(H2,24,31)/t7-,8-,15-,21-,22-/m0/s1",DHPRQBPJLMKORJ-XRNKAMNCSA-N
86,Tetracycline,,9.0719,84187-37-1,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,,,https://doi.org/10.1016/j.chemosphere.2023.138843,phenol,Oxygenated organics,"InChI=1S/C22H24N2O8/c1-21(31)8-5-4-6-11(25)12(8)16(26)13-9(21)7-10-15(24(2)3)17(27)14(20(23)30)19(29)22(10,32)18(13)28/h4-6,9-10,15,25-26,29,31-32H,7H2,1-3H3,(H2,23,30)/t9-,10-,15-,21+,22-/m0/s1",NWXMGUDVXFXRIG-WESIUVDSSA-N
87,Triclosan,,8.3945,1020720-00-6,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,,,https://doi.org/10.1016/j.chemosphere.2023.138844,halogenated,Halogenated organics,"InChI=1S/C12H7Cl3O2/c13-7-1-3-11(9(15)5-7)17-12-4-2-8(14)6-10(12)16/h1-6,16H",XEFQLINVKFYRCS-UHFFFAOYSA-N
88,Terbutaline,,9.081,28924-20-1,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138845,phenol,Oxygenated organics,"InChI=1S/C12H19NO3/c1-12(2,3)13-7-11(16)8-4-9(14)6-10(15)5-8/h4-6,11,13-16H,7H2,1-3H3",XWTYSIMOBUGWOL-UHFFFAOYSA-N
89,Mesalazine,,9.1535,121887-11-4,C1=CC(=C(C=C1N)C(=O)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138846,phenol,Oxygenated organics,"InChI=1S/C7H7NO3/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,9H,8H2,(H,10,11)",KBOPZPXVLCULAV-UHFFFAOYSA-N
90,Salbutamol,,8.48,238762-34-0,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,,,https://doi.org/10.1016/j.chemosphere.2023.138847,phenol,Oxygenated organics,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",NDAUXUAQIAJITI-UHFFFAOYSA-N
91,Estrone,,8.5635,53-16-7,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,,,https://doi.org/10.1016/j.chemosphere.2023.138848,phenol,Oxygenated organics,"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1",DNXHEGUUPJUMQT-CBZIJGRNSA-N
92,Estradiol,,8.5977,350818-73-4,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,,https://doi.org/10.1016/j.chemosphere.2023.138849,phenol,Oxygenated organics,"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1",VOXZDWNPVJITMN-ZBRFXRBCSA-N
93,Ethinyl estradiol,,8.5977,170475-05-5,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,,,https://doi.org/10.1016/j.chemosphere.2023.138850,phenol,Oxygenated organics,"InChI=1S/C20H24O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,5,7,12,16-18,21-22H,4,6,8-11H2,2H3/t16-,17-,18+,19+,20+/m1/s1",BFPYWIDHMRZLRN-SLHNCBLASA-N
94,Bisphenol A,,8.7649,68440-77-7,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,,,https://doi.org/10.1016/j.chemosphere.2023.138851,phenol,Oxygenated organics,"InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3",IISBACLAFKSPIT-UHFFFAOYSA-N
95,Methylparaben,,8.2068,222545-59-7,COC(=O)C1=CC=C(C=C1)O,,,https://doi.org/10.1016/j.chemosphere.2023.138852,phenol,Oxygenated organics,"InChI=1S/C8H8O3/c1-11-8(10)6-2-4-7(9)5-3-6/h2-5,9H,1H3",LXCFILQKKLGQFO-UHFFFAOYSA-N
96,Nonylphenol,,8.5623,84852-15-3,CCCCCCCCCC1=CC=CC=C1O,,,https://doi.org/10.1016/j.chemosphere.2023.138853,phenol,Oxygenated organics,"InChI=1S/C15H24O/c1-2-3-4-5-6-7-8-11-14-12-9-10-13-15(14)16/h9-10,12-13,16H,2-8,11H2,1H3",SNQQPOLDUKLAAF-UHFFFAOYSA-N
97,4-Methylcatechol,,9.0734,1219803-18-5,CC1=CC(=C(C=C1)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138854,phenol,Oxygenated organics,"InChI=1S/C7H8O2/c1-5-2-3-6(8)7(9)4-5/h2-4,8-9H,1H3",ZBCATMYQYDCTIZ-UHFFFAOYSA-N
98,Pyrocatechol,,8.7528,3117-41-7,C1=CC=C(C(=C1)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138855,phenol,Oxygenated organics,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",YCIMNLLNPGFGHC-UHFFFAOYSA-N
